Key,English,,,,,,,,,,,
Kitchen,Galley,,,,,,,,,,,
Radio Room,Radio room,,,,,,,,,,,
Radio Room Description,Radiomen can use equipment in this room to receive transmissions that we receive or send our own reports to Command HQ (BdU).,,,,,,,,,,,
Hatch,Hatch,,,,,,,,,,,
Attack Periscope,Attack periscope,,,,,,,,,,,
Attack Periscope Description,"The attack periscope is, as the name suggests, used to locate enemy ships thanks to a stadimeter and better stability.",,,,,,,,,,,
Deck Cannon,Deck cannon,,,,,,,,,,,
Flak,AA gun,,,,,,,,,,,
Storage,Storage room,,,,,,,,,,,
Listening Room,Listening room,,,,,,,,,,,
Listening Room Description,The listening room contains equipment that allows our crew to use the hydrophones when submerged and radar detector on the waterÅfs surface.,,,,,,,,,,,
Ladder,Ladder,,,,,,,,,,,
Diesel Engine,Diesel engine,,,,,,,,,,,
Trim Pump,Pump,,,,,,,,,,,
Trim Pump Short Description,The pump allows pumping water outside the ship from every compartment but it is the most effective from the central compartment.,,,,,,,,,,,
Trim Pump Description,The pump allows pumping water outside the ship from every compartment but it is the most effective from the central compartment.,,,,,,,,,,,
Gyrocompass,Gyrocompass,,,,,,,,,,,
Gyrocompass Short Description,An operating gyrocompass reduces navigation errors by four times.,,,,,,,,,,,
Gyrocompass Description,An operating gyrocompass reduces navigation errors by four times.,,,,,,,,,,,
Ventilation,Ventilation,,,,,,,,,,,
Ventilation Description,Working ventilation is able to effectively increase airÅfs suitability for breathing for a limited time.,,,,,,,,,,,
Evacuation Hatch,Evacuation hatch,,,,,,,,,,,
Evacuation Hatch Description,The hatch leading outside the ship through a narrow passage.,,,,,,,,,,,
Control Room,Control Room,,,,,,,,,,,
Electric Engines,Electric engine,,,,,,,,,,,
Electric Engines Description,"Electric engines are the only drive source under the water. They do not emit exhaust fumes and are much quieter than diesel engines, however, due to high power consumption, they are unfit for long-distance journeys.",,,,,,,,,,,
Bow Torpedo Launcher,Torpedo tubes,,,,,,,,,,,
Bow Torpedo Launcher Description,Four bow torpedo tubes,,,,,,,,,,,
Stern Torpedo Launcher,Torpedo tube,,,,,,,,,,,
Stern Torpedo Launcher Description,Single stern torpedo tube,,,,,,,,,,,
Observation Spot,Observation point,,,,,,,,,,,
Quarters,Quarters,,,,,,,,,,,
Manage Workers,Manage workers,,,,,,,,,,,
Listen,Listen for new messages,,,,,,,,,,,
Open,Open,,,,,,,,,,,
Close,Close,,,,,,,,,,,
Blow the tanks,Blow the tanks,,,,,,,,,,,
Open map,Open map,,,,,,,,,,,
Enable,Turn on,,,,,,,,,,,
Disable,Turn off,,,,,,,,,,,
Evacuate,Evacuate,,,,,,,,,,,
Use,Use,,,,,,,,,,,
Bulkhead,Bulkhead,,,,,,,,,,,
Pipes,Pipes,,,,,,,,,,,
Observation Periscope,Observation periscope,,,,,,,,,,,
Observation Periscope Description,"The observation periscope is designed for sky observation and quickly looking around a ship. It can be successfully used to locate an enemy, although it is not the most effective.",,,,,,,,,,,
Compressor,Compressor,,,,,,,,,,,
Manage Torpedoes,Manage torpedoes,,,,,,,,,,,
External Operation Meeting Point,Meeting point,,,,,,,,,,,
Mission,Mission,,,,,,,,,,,
Radio Listen,Listening on the radio,,,,,,,,,,,
Radio Listen Description,Listen for new transmissions we pick up.,,,,,,,,,,,
Radio Listen Task,Work - Radio room,,,,,,,,,,,
Radio Listen Full Description,"<b>Listening on the radio</b>

Officer scans frequencies for new transmissions. If ordered, he can decode incoming messages.

Additional sailors:",,,,,,,,,,,
Radio Listen Full Description 1,Receiving range increases by 20%. Time needed to receive and send messages is shortened by a factor of two.,,,,,,,,,,,
Enable Device,Turn on the device,,,,,,,,,,,
Disable Device,Turn off the device,,,,,,,,,,,
Extend Antenna,Extend antenna,,,,,,,,,,,
Hide Antenna,Hide antenna,,,,,,,,,,,
Hydrophone Listen,Listening,,,,,,,,,,,
Hydrophone Listen Task,Work - Listening room,,,,,,,,,,,
Hydrophone Listen Full Description,"<b>Using hydrophone</b>

Officer tries to detect new new contacts. If ordered, he can aim torpedoes at a chosen target.

Additional sailors:",,,,,,,,,,,
Hydrophone Listen Full Description 1,Detection range increases by 25%.,,,,,,,,,,,
ManageTorpedoesAction,Manage torpedoes,,,,,,,,,,,
Targeting Sight,Targeting sight,,,,,,,,,,,
Targeting Sight Description,The targeting sight automatically sends a location to the torpedo room. It is the most efficient equipment for visual observation on the ship.,,,,,,,,,,,
Funkpeilrahmen Antenna,Radio antenna,,,,,,,,,,,
Junkers Diesel Compressor,Diesel compressor,,,,,,,,,,,
Junkers Diesel Compressor Description,It regenerates the supplies of compressed air in bottles located outside the pressure hull using the air from inside the ship.,,,,,,,,,,,
Electric Compressor,Electric compressor,,,,,,,,,,,
Electric Compressor Description,It regenerates the supplies of compressed air in bottles located outside the pressure hull using the air from inside the ship.,,,,,,,,,,,
