Key,English
Destroyer,Destroyer
Freighter,Freighter
Corvette,Corvette
Aircraft,Aircraft
Aircrafts,Aircraft
Bomber,Bomber
Ships,Ships
Submarine,Submarine
U-boat,U-boat
Fast Attack Craft,Fast attack craft
Sloop,Sloop
Cruiser,Cruiser
Battleship,Battleship
Escort Carrier,Escort carrier
Tanker,Tanker
Submarine Pen,Submarine pen
Port,Port
Air Base,Airbase
Torpedo,Torpedo
Mine,Mine
Bottom Mine,Bottom Mine
Pontoon,Pontoon
Lifeboat,Lifeboat
Environment,Environment
F-Class,F-class
F-Class (Recognized Manually),E/F-class
E-Class,E-class
Tribal-Class,Tribal-class
Benson-Class,Benson-class
Liberty,Liberty
Zerst?rer 1934A,Zerst?rer 1934A
Type IIB,Type IIB
Type VIIB,Type VIIB
Type VIIC,Type VIIC
Type XIV,Type XIV
Canadian Motor Torpedo Boat,Canadian Motor Torpedo Boat
PBY-5A Catalina,PBY-5A Catalina
Catalina Mk III,Catalina Mk III
Mk IA Catalina,Mk IA Catalina
GST,GST
Flower-Class,Flower-class
Black Swan-Class,Black Swan-class
Admiral Hipper,Admiral Hipper
Allen M. Sumner Class,Allen M. Sumner-class
Bogue-Class,Bogue-class
Casablanca-Class,Casablanca-class
Kirov-Class,Kirov-class
Gnevny-Class,Gnevny-class
MS Rio de Janeiro,MS Rio de Janeiro
T2,T2
Generic Submarine Pen,Submarine Pen
Generic Port,Port
Generic Air Base,Airbase
Boeing B-17 Flying Fortress,Boeing B-17 Flying Fortress
Vickers Wellington,Vickers Wellington
PF(B),PF(B)
Type VIIC (Player),Type VIIC
G7a Torpedo (T1),G7a torpedo (T1)
G7a Torpedo (T1) (Warmed),G7a torpedo (T1)
G7e Torpedo (T2),G7e torpedo (T2)
G7e Torpedo (T2) (Warmed),G7e torpedo (T2)
G7e Torpedo (T3),G7e torpedo (T3)
G7e Torpedo (T3) (Warmed),G7e torpedo (T3)
G7es Zaunk?nig Torpedo (T5),"G7es ""Zaunk?nig"" torpedo (T5)"
G7es Zaunk?nig Torpedo (T5) (Warmed),"G7es ""Zaunk?nig"" torpedo (T5)"
G7e Torpedo (T3) Prototype,G7e torpedo prototype (T3)
G7e Torpedo (T3) Prototype (Warmed),G7e torpedo prototype (T3)
"G7es ""Zaunk?nig"" Torpedo (T5) Prototype","G7es ""Zaunk?nig"" torpedo prototype (T5)"
"G7es ""Zaunk?nig"" Torpedo (T5) Prototype (Warmed)","G7es ""Zaunk?nig"" torpedo prototype (T5)"
TMB Mine,TMB mine
Small Iceberg,Small iceberg
Medium Iceberg,Medium iceberg
Whales,Whales
Minke Whales,Minke whales
Harbor Porpoise,Harbor porpoise
Ice Cover,Ice cover
Ulysses,Ulysses
Marconi,Marconi
Illustrious,Illustrious
"C01 ""Falcon"" Wreck","""Falcon"" Wreck"
C01 British Destroyer,British destroyer
C01 British Aircraft Carrier,Aircraft carrier
Wilhelmshaven Port,Port of Wilhelmshaven
Wreckage,Wreckage
Wreck,Wreck
Player Ship,U-96
Unknown Group,Unknown group
Air Patrol,Aircraft
Warships,Warships
Convoy,Convoy
Norwegian Sea,Norwegian Sea
Western Approaches,Western Approaches
North Atlantic,North Atlantic
Central Atlantic,Central Atlantic
Southern Atlantic,Southern Atlantic
Mediterranean Sea,Mediterranean Sea
Bermuda Islands,Bermuda Islands
Danzig Port,Danzig Port
Klaip?da Port,Port of Klaipeda
Headquarters,Headquarters
Kilian,"Submarine Pen ""Kilian"""
Nordsee III,"Submarine Pen ""Nordsee III"""
Trondheim Port,Port of Trondheim
Bergen Port,Port of Bergen
Scapa Flow,Scapa Flow
Scapa Flow Port,Port of Scapa Flow
RAF Dundee,RAF Dundee
Leith,Leith
Port of Liverpool,Port of Liverpool
RAF St. Eval,RAF St. Eval
Dom (West),"Submarine Pen ""Dom"" (West)"
Dom (East),"Submarine Pen ""Dom"" (East)"
St-Nazaire Port,Port of St-Nazaire
La Rochelle Port,Port of La Rochelle
Bordeaux Port,Port of Bordeaux
Radio Gibraltar,Radio Gibraltar
Safi Port,Port of Safi
Port of Freetown,Port of Freetown
Radio New York,Radio New York
Port of Boston,Port of Boston
Halifax Harbour,Port of Halifax
Port of Sydney,Port of Sydney
Convoy Code,{0} Convoy
Transport,Transport
Transport Code,{0} Transport
Wolfpack Code,{0} Wolfpack
Unknown Name,Unknown
Carrier-Borne Aircraft,Aircraft
Contrail,Contrail
Chimney Smoke,Funnel smoke
Conning Tower,Conning tower
Ship,Ship
Ships,Ships
Visual Contact,Visual contact
Masts,Ship masts
Propeller Noise,Propeller noise
Hydrophone Contact,Hydrophone contact
Detected Radar,Detected radar
Radar Contact,Radar contact
Coordinates,Coordinates - {0}
C01 Aircraft Carrier,Aircraft carrier
Large Freighter 01,Empire Bell
Large Freighter 02,Empire Tower
Large Freighter 03,Empire Explorer
Port of Kiel,Port of Kiel
Lyness Naval Base,Lyness Naval Base
Belfast Harbour,Belfast Harbour
Portsmouth Port,Portsmouth Port
Cardiff Docks,Cardiff Docks
La Spezia Port,La Spezia Port
Grand Harbour,Grand Harbour
Port in Alexandria,Port in Alexandria
Port of New York and New Jersey,Port of New York and New Jersey
Scapa Flow Mines #1,Scapa Flow Mines #1
Scapa Flow Mines #2,Scapa Flow Mines #2
Scapa Flow Net #1,Scapa Flow Net #1
Port of Alexandria,Port of Alexandria
Port of Murmansk,Port of Murmansk
Port of Arkhangelsk,Port of Arkhangelsk
Portsmouth Net #1,Portsmouth Net #1
Belfast Net #1,Belfast Net #1
Cardiff Net #1,Cardiff Net #1
Cardiff Mines #1,Cardiff Mines #1
AA Platform #1,AA Platform #1
AA Platform #2,AA Platform #2
AA Platform #3,AA Platform #3
AA Platform #4,AA Platform #4
AA Platform #5,AA Platform #5
Berlin,BdU
Tutorial02Movement,Training Area
,
Sims-Class,Sims-class
County-Class,County-class
River-Class,River-class
V-Class,V-class
Dido-Class,Dido-class
Ol-Class,Ol-class
Dale-Class,Dale-class
War-Class,War-class
Wave-Class,Wave-class
Hunt-Class,Hunt-class
Port of Tunis,Port of Tunis
Port of Buenos Aires,Port of Buenos Aires
Port of Gibraltar,Port of Gibraltar
