Key,English,,,,,,,,,,,
Convoy,Convoy,,,,,,,,,,,
Open,Open,,,,,,,,,,,
Close,Close,,,,,,,,,,,
Equip,Equip,,,,,,,,,,,
Value,Value,,,,,,,,,,,
Report value,Report value,,,,,,,,,,,
Estimated transmission time,Estimated transmission time,,,,,,,,,,,
days,days,,,,,,,,,,,
hours,hours,,,,,,,,,,,
seconds,seconds,,,,,,,,,,,
minutes,minutes,,,,,,,,,,,
second,second,,,,,,,,,,,
minute,minute,,,,,,,,,,,
Report header,"{0} report<size=16>{1}, {2:d MMMM yyyy}</size>",,,,,,,,,,,
Torpedo Launcher X,Torpedo tube {0},,,,,,,,,,,
empty,empty,,,,,,,,,,,
Rescued,Rescued,,,,,,,,,,,
Dead,Casualties,,,,,,,,,,,
Drown,Drown,,,,,,,,,,,
Killed,Killed,,,,,,,,,,,
Captured,Captured,,,,,,,,,,,
Deserted,Deserted,,,,,,,,,,,
DefeatSummary/Crushed,hull has been crushed by the pressure. No survivors,,,,,,,,,,,
DefeatSummary/EvacuatedAndSunk,has been evacuated and sunk,,,,,,,,,,,
DefeatSummary/MostRescued,Most of the crew has been rescued by other u-boats.,,,,,,,,,,,
DefeatSummary/MostDrown,Most of the crew didn't made it to the surface.,,,,,,,,,,,
DefeatSummary/MostKilled,Most of the crew didn't made it to the surface.,,,,,,,,,,,
DefeatSummary/MostCaptured,Most of the crew was captured by nearby enemy forces.,,,,,,,,,,,
DefeatSummary/MostDeserted,Most of the crew has deserted. Shame on them!,,,,,,,,,,,
Quarter,Quarter,,,,,,,,,,,
Attack on group summary,"Attack on {0}, {1} ships sunk.",,,,,,,,,,,
Open sea,Open sea,,,,,,,,,,,
Shore,Shore,,,,,,,,,,,
Seabed,Seabed,,,,,,,,,,,
Unidentified Group,Unidentified group,,,,,,,,,,,
Fuel depleted in,Remaining: {0} on current usage.,,,,,,,,,,,
Fully depleted in,Fully depleted in {0}.,,,,,,,,,,,
Full in,Full in {0}.,,,,,,,,,,,
Total route,Total route: {0},,,,,,,,,,,
Device operational,<color=#12FF12>The device is in a working condition</color>,,,,,,,,,,,
Device broken,<color=#C1241F>The device is broken</color>,,,,,,,,,,,
Wolfpack,Wolfpack,,,,,,,,,,,
Date Format 1,"{1}, {2}",,,,,,,,,,,
Confirm,Confirm,,,,,,,,,,,
Cancel,Cancel,,,,,,,,,,,
Carry Task Confirmation,Is your order to carry {0} to {1}?,,,,,,,,,,,
North Atlantic,North Atlantic,,,,,,,,,,,
Sight,Clear sight,,,,,,,,,,,
Max Sight,Max sight,,,,,,,,,,,
Hydrophone,Hydrophone,,,,,,,,,,,
Max Hydrophone,Max hydrophone,,,,,,,,,,,
Radar Detector,Radar detector,,,,,,,,,,,
Radio,Radio,,,,,,,,,,,
Gyrocompass is offline!,Gyrocompass is offline!,,,,,,,,,,,
Select,Select,,,,,,,,,,,
Change storage,Change storage,,,,,,,,,,,
Grab,Grab,,,,,,,,,,,
Drop,Drop,,,,,,,,,,,
Drop X,Drop X,,,,,,,,,,,
NPC Report Title,Captured report: {0},,,,,,,,,,,
PC Report Title,Report #{0:00},,,,,,,,,,,
Balance Log Sent Report,Report {0:+#;-#;0},,,,,,,,,,,
Balance Log Generic,{0} {1:+#;-#;0},,,,,,,,,,,
Balance Log Console,Console {0:+#;-#;0},,,,,,,,,,,
Balance Log Shopping,{1} {0:+#;-#;0},,,,,,,,,,,
Balance Log Start,Initial balance {0:+#;-#;0},,,,,,,,,,,
Balance Log Empty,(no recent transactions),,,,,,,,,,,
Manual Mode,Manual mode,,,,,,,,,,,
Manual Mode (Demo),Manual mode<size=12>not available in demo</size>,,,,,,,,,,,
North Sea,North Sea,,,,,,,,,,,
North-West Atlantic,North-West Atlantic,,,,,,,,,,,
North-East Atlantic,North-East Atlantic,,,,,,,,,,,
Western Approaches,Western Approaches,,,,,,,,,,,
South Atlantic,South Atlantic,,,,,,,,,,,
English Channel,English Channel,,,,,,,,,,,
Arctic Ocean,Arctic Ocean,,,,,,,,,,,
Norwegian Sea,Norwegian Sea,,,,,,,,,,,
North Pacific Ocean,North Pacific Ocean,,,,,,,,,,,
South Pacific Ocean,South Pacific Ocean,,,,,,,,,,,
Indian Ocean,Indian Ocean,,,,,,,,,,,
Baltic Sea,Baltic Sea,,,,,,,,,,,
German Reich Coast,German Reich coast,,,,,,,,,,,
British Coast,British coast,,,,,,,,,,,
USA Coast,Coast of USA,,,,,,,,,,,
Canadian Coast,Canadian coast,,,,,,,,,,,
Drake Passage,Drake Passage,,,,,,,,,,,
Black Sea,Black Sea,,,,,,,,,,,
Biscay Bay,Bay of Biscay,,,,,,,,,,,
Celtic Sea,Celtic Sea,,,,,,,,,,,
Skagerrak,Skagerrak,,,,,,,,,,,
North Atlantic Ocean,"North 
Atlantic Ocean",,,,,,,,,,,
South Atlantic Ocean,"South 
Atlantic Ocean",,,,,,,,,,,
Mediterranean Sea,Mediterranean Sea,,,,,,,,,,,
Caribbean Sea,Caribbean Sea,,,,,,,,,,,
Labrador Sea,Labrador Sea,,,,,,,,,,,
Davis Strait,Davis Strait,,,,,,,,,,,
Baffin Bay,Baffin Bay,,,,,,,,,,,
Danemark Strait,Danemark Strait,,,,,,,,,,,
Greenland Sea,Greenland Sea,,,,,,,,,,,
knots,knots,,,,,,,,,,,
Report,Report,,,,,,,,,,,
Tiny,Tiny group,,,,,,,,,,,
Small,Small group,,,,,,,,,,,
Large,Large group,,,,,,,,,,,
Very Large,Very large group,,,,,,,,,,,
Unknown Group Size,Unknown size,,,,,,,,,,,
Group,Group,,,,,,,,,,,
Misc Communications,Misc communications,,,,,,,,,,,
Campaign01_Subject,Orders,,,,,,,,,,,
Log,Activity,,,,,,,,,,,
Berlin Transmission,Transmission from BdU,,,,,,,,,,,
Weather Station Deployment Area,Weather station deployment area,,,,,,,,,,,
Unknown Transmission,Unknown transmission,,,,,,,,,,,
Convoy Attack,Wolfpack formation,,,,,,,,,,,
Radioman Description,Radiomen are specialists in telecommunication devices usage. They may also obtain medical training.,,,,,,,,,,,
Leader Description,Leaders take care of crew matters and they control devices meant for visual observation.,,,,,,,,,,,
Engineer Description,Engineers are specialists in the usage and conservation of devices on board.,,,,,,,,,,,
Skipper Description,Character is a skipper of {0}.,,,,,,,,,,,
Skipper Promotion,Skipper,,,,,,,,,,,
Skipper Promotion Description,Promote this officer to be the new skipper of our ship.,,,,,,,,,,,
Skills Header,Learned skills:,,,,,,,,,,,
Skipper,Skipper,,,,,,,,,,,
Radioman,Radioman,,,,,,,,,,,
Leader,Leader,,,,,,,,,,,
