Key,English
G7a Torpedo (T1),G7a torpedo (T1)
G7a Torpedo (T1) Description,Steam propelled torpedo.
G7e Torpedo (T2),G7e torpedo (T2)
G7e Torpedo (T2) Description,Electric torpedo.
G7e Torpedo (T3),G7e torpedo (T3)
G7e Torpedo (T3) Description,Electric torpedo.
G7es Zaunk?nig Torpedo (T5),"G7es ""Zaunk?nig"" torpedo (T5)"
G7es Zaunk?nig Torpedo (T5) Description,Electric homing torpedo.
G7e Torpedo (T3) Prototype,G7e torpedo prototype (T3)
G7e Torpedo (T3) Prototype Description,Electric torpedo.
"G7es ""Zaunk?nig"" Torpedo (T5) Prototype","G7es ""Zaunk?nig"" torpedo prototype (T5)"
"G7es ""Zaunk?nig"" Torpedo (T5) Prototype Description",Electric homing torpedo.
G7a Torpedo (T1) (Warmed),G7a torpedo (T1)
G7a Torpedo (T1) (Warmed) Description,Steam propelled torpedo.
G7e Torpedo (T2) (Warmed),G7e torpedo (T2)
G7e Torpedo (T2) (Warmed) Description,Electric torpedo.
G7e Torpedo (T3) (Warmed),G7e torpedo (T3)
G7e Torpedo (T3) (Warmed) Description,Electric torpedo.
G7es Zaunk?nig Torpedo (T5) (Warmed),"G7es ""Zaunk?nig"" torpedo (T5)"
G7es Zaunk?nig Torpedo (T5) (Warmed) Description,Electric homing torpedo.
G7e Torpedo (T3) Prototype (Warmed),G7e torpedo prototype (T3)
G7e Torpedo (T3) Prototype (Warmed) Description,Electric torpedo.
"G7es ""Zaunk?nig"" Torpedo (T5) Prototype (Warmed)","G7es ""Zaunk?nig"" torpedo prototype (T5)"
"G7es ""Zaunk?nig"" Torpedo (T5) Prototype (Warmed) Description",Electric homing torpedo.
TMB Mine x3,TMB mine x3
TMB Mine x3 Description,Mine
FuMB 26 ?Tunis”,"FuMB 26 ""Tunis"""
FuMB 26 ?Tunis” Description,"Tunis is the latest anti-radar technology that can detect 3 cm radars. Allies haven't yet developed their radar technology that far, but Tunis also has the best range among all radar detectors and also can indicate the direction of incoming signal."
FuMB 10 ?Borkum”,"FuMB 10 ""Borkum"""
FuMB 10 ?Borkum” Description,"Borkum is a radar detector that can detect Allied centimetric radars that are invisible to Metox, yet it has a limited range and cannot indicate the direction of incoming signal."
FuMB 7 ?Naxos I”,"FuMB 7 ""Naxos I"""
FuMB 7 ?Naxos I” Description,Naxos I is a reliable device that can detect Allied centimetric radars with a bit better range than Borkum and ability to indicate the direction of incoming signal.
FuMB 1 ?Metox”,"FuMB 1 ""Metox"""
FuMB 1 ?Metox” Description,"Metox is a device consisting of a rudimentary wooden antenna, yet very effective. It's tuned to pick up British ASV radar and alert the crew of incoming danger."
Netzabweiser Antenne,Netzabweiser Antenne
Netzabweiser Antenne Description,Basic antenna used for long range communication and direction finding.
Potassium Absorbers,Potassium Absorbers
Potassium Absorbers Description,Potassium permanganate in the absorbers reacts with carbon dioxide and effectively clears it from air extending the time of its usefulness for breathing.
Cheese,Cheese
Cheese Description,A common food ration. Put it in the kitchen to use it for cooking.
Exotic Fruits,Exotic fruits
Exotic Fruits Description,A luxury food ration. Put it in the kitchen to use it for cooking.
MedKit,Medkit
MedKit Description,A medkit for wounded or sick people. It's best used by an officer with proper medical training.
Ammo Large Calibre HE,Large Caliber HE Ammo
Ammo Large Calibre HE/Code,HE
Ammo Large Calibre HE Description,"HE ammunition causing standard damage to ship’s hulls and crew, having a large damage radius and increased ability to cause a fire."
Ammo Small Calibre HE,Small Caliber HE Ammo
Ammo Small Calibre HE/Code,HE
Ammo Small Calibre HE Description,"HE ammunition causing standard damage to ship’s hulls and crew, having a large damage radius and increased ability to cause a fire."
Ammo Large Calibre AP,Large Caliber AP Ammo
Ammo Large Calibre AP/Code,AP
Ammo Large Calibre AP Description,AP ammunition causing high damage to hulls.
Ammo Small Calibre AP,Small Caliber AP Ammo
Ammo Small Calibre AP/Code,AP
Ammo Small Calibre AP Description,AP ammunition causing high damage to hulls.
Ammo Large Calibre AA,Large Caliber AA Ammo
Ammo Large Calibre AA/Code,AA
Ammo Large Calibre AA Description,"AA ammo is set to detonate after a specified period of time, thus increasing the chances of including a plane in its damage radius."
Ammo Small Calibre AA,Small Caliber AA Ammo
Ammo Small Calibre AA/Code,AA
Ammo Small Calibre AADescription,"AA ammo is set to detonate after a specified period of time, thus increasing the chances of including a plane in its damage radius."
Ammo Large Calibre SS,Large Caliber SS Ammo
Ammo Large Calibre SS/Code,SS
Ammo Large Calibre SS Description,Flares designed to be fired from large caliber guns.
Ammo Small Calibre SS,Small Caliber SS Ammo
Ammo Small Calibre SS/Code,SS
Ammo Small Calibre SS Description,Flares designed to be fired from small caliber guns.
Replacement Parts,Replacement parts
Replacement Parts Description,The engineers need these to repair broken equipment and water leaks on board.
Large Wooden Chest,Large wooden box
Large Wooden Chest Target,large wooden box
Pontoon,Pontoon
Pontoon Target,pontoon
Diving Suit,Diving suit
Diving Suit Description,It's required to dive to a wreck.
Rebreather,Breathing apparatus
Rebreather Description,"It allows a sailor to stay and work in compartments underwater or with toxic air. It's equipped automatically when needed, but it wears out in time."
Combat Helmet,Combat helmet
Combat Helmet Description,"Protects from some damage that would normally be inflicted to the officer, but wears out in that process."
Briefcase,Briefcase
Briefcase Description,Personal briefcase of officer Kohler.
Water,Water
Water Description,Residual water in the compartment.
Radar Prototype,Radar prototype
Radar Prototype Description,Prototype of the experimental radar that we need to obtain for headquarters.
Dried Fish,Dried Fish
Dried Fish Description,A standard food ration. Place it in the galley so the cook can use it to make dishes.
Vegetables,Vegetables
