Key,English,,,,,,,,,,,
Deutschland,Deutschland,,,,,,,,,,,
Deutschland Occupied,"Deutschland
<size=60%>Occupied by Allies</size>",,,,,,,,,,,
United Kingdom,"United
Kingdom",,,,,,,,,,,
Spanish State,Spain,,,,,,,,,,,
Portugal,Portugal,,,,,,,,,,,
Poland,Poland,,,,,,,,,,,
Poland Occupied Germany,"Poland
<size=60%>Occupied by Germany</size>",,,,,,,,,,,
Poland Occupied USSR,"Poland
<size=60%>Occupied by USSR</size>",,,,,,,,,,,
General Government,"General
Government",,,,,,,,,,,
Ukrainian S.S.R.,Ukrainian S.S.R.,,,,,,,,,,,
Ukraine Occupied Germany,"Ukraine
<size=60%>Occupied by Germany</size>",,,,,,,,,,,
Ireland,Ireland,,,,,,,,,,,
Iceland,Iceland,,,,,,,,,,,
Iceland Occupied Allies,"Iceland
<size=60%>Occupied by Allies</size>",,,,,,,,,,,
Denmark,Denmark,,,,,,,,,,,
Denmark Occupied Germany,"Denmark
<size=60%>Occupied by Germany</size>",,,,,,,,,,,
Norway,Norway,,,,,,,,,,,
Norway Occupied Germany,"Norway
<size=60%>Occupied by Germany</size>",,,,,,,,,,,
Sweden,Sweden,,,,,,,,,,,
Finland,Finland,,,,,,,,,,,
Italy,Italy,,,,,,,,,,,
Italy Occupied Germany,"Italy
<size=60%>Occupied by Germany</size>",,,,,,,,,,,
Italy Occupied Allies,"Italy
<size=60%>Occupied by Allies</size>",,,,,,,,,,,
Turkey,Turkey,,,,,,,,,,,
Greenland Denmark,"Greenland
<size=60%>Danish colony</size>",,,,,,,,,,,
Greenland Independent,Greenland,,,,,,,,,,,
Greenland USA Protectorate,"Greenland
<size=60%>US protectorate</size>",,,,,,,,,,,
Soviet Union,Soviet Union,,,,,,,,,,,
Morocco,"Morocco
<size=60%>French protectorate</size> ",,,,,,,,,,,
Morocco Vichy,"Morocco
<size=60%>Vichy French protectorate</size>",,,,,,,,,,,
Morocco Occupied Allies,"Morocco
<size=60%>Occupied by Allies</size> ",,,,,,,,,,,
Morocco Free France,"Morocco
<size=60%>Free French administration</size>",,,,,,,,,,,
Morocco Spanish,"Morocco
<size=60%>Spanish protectorate</size> ",,,,,,,,,,,
Newfoundland and Labrador,"Newfoundland and Labrador
<size=60%>British administration</size>",,,,,,,,,,,
Algeria,"Algeria
<size=60%>French possession</size>",,,,,,,,,,,
Algeria Vichy,"Algeria
<size=60%>Vichy French possession</size>",,,,,,,,,,,
Algeria Occupied Allies,"Algeria
<size=60%>Occupied by Allies</size>",,,,,,,,,,,
Algeria Free France,"Algeria
<size=60%>Free French administration</size>",,,,,,,,,,,
Tunisia,"Tunisia
<size=60%>French
protectorate</size>",,,,,,,,,,,
Tunisia Vichy,"Tunisia
<size=60%>Vichy French
protectorate</size>",,,,,,,,,,,
Tunisia Occupied Germany,"Tunisia
<size=60%>Occupied by 
Germany</size>",,,,,,,,,,,
Tunisia Free France,"Tunisia
<size=60%>Free French
protectorate</size>",,,,,,,,,,,
Libya Occupied Italy,"Libya
<size=60%>Italian possession</size> ",,,,,,,,,,,
Libya Occupied Allies,"Libya
<size=60%>Occupied by Allies</size>",,,,,,,,,,,
Egypt,"Egypt
<size=60%>Occupied by United Kingdom</size>",,,,,,,,,,,
Anglo-Egyptian Sudan,"Anglo-Egyptian Sudan
<size=60%>British administration</size>",,,,,,,,,,,
Syria France,"Syria & Lebanon
<size=60%>French mandate</size>",,,,,,,,,,,
Syria Vichy,"Syria & Lebanon
<size=60%>Vichy French mandate</size>",,,,,,,,,,,
Syria Free France,"Syria
<size=60%>Free French mandate</size> ",,,,,,,,,,,
Syria ,"Syria
<size=60%>Occupied by France & United Kingdom</size> ",,,,,,,,,,,
France,France,,,,,,,,,,,
France Occupied,"France
<size=60%>Occupied by Germany</size>",,,,,,,,,,,
Vichy France,"Vichy 
France",,,,,,,,,,,
Greece,Greece,,,,,,,,,,,
Greece Occupied Axis,"Hellenic 
State
<size=60%>Axis Occupied</size>",,,,,,,,,,,
Albania,Albania,,,,,,,,,,,
Albania Occupied Italy,"Albania
<size=60%>Italian
Protectorate</size>",,,,,,,,,,,
Albania Occupied Germany,"Albania
<size=60%>Occupied by
Germany</size>",,,,,,,,,,,
Yugoslavia,Yugoslavia,,,,,,,,,,,
Montenegro Occupied Italy,"Montenegro
<size=60%>Occupied 
by Italy</size>",,,,,,,,,,,
Montenegro Occupied Germany,"Montenegro
<size=60%>Occupied 
by Germany</size>",,,,,,,,,,,
Croatia,"Croatia
<size=60%>Axis Occupied</size>",,,,,,,,,,,
Serbia,"Serbia
<size=60%>Occupied by Germany</size>",,,,,,,,,,,
Palestine ,"Palestine 
<size=60%>British mandate</size>",,,,,,,,,,,
Emirate of Transjordan,"Emirate of 
Transjordan
<size=60%>British mandate</size>",,,,,,,,,,,
Lebanon,"Lebanon
<size=60%>Occupied by France & United Kingdom</size> ",,,,,,,,,,,
Hungary,Hungary,,,,,,,,,,,
Hungary Occupied USSR,"Hungary
<size=60%>Occupied by USSR</size>",,,,,,,,,,,
Romania,Romania,,,,,,,,,,,
Romania Occupied USSR,"Romania
<size=60%>Occupied by USSR</size>",,,,,,,,,,,
Bulgaria,Bulgaria,,,,,,,,,,,
Bulgaria Occupied USSR,"Bulgaria
<size=60%>Occupied by USSR</size>",,,,,,,,,,,
Switzerland,Switzerland,,,,,,,,,,,
Cyprus,"Cyprus
<size=60%>British colony</size>",,,,,,,,,,,
Malta,"Malta
<size=60%>British colony</size>",,,,,,,,,,,
United States ,"United States of 
America",,,,,,,,,,,
Canada,Canada,,,,,,,,,,,
Hudson Bay ,Hudson Bay ,,,,,,,,,,,
Netherlands,Netherlands,,,,,,,,,,,
Netherlands Occupied,"Netherlands
<size=60%>Occupied by Germany</size>",,,,,,,,,,,
Belgium,Belgium,,,,,,,,,,,
Belgium Occupied,"Belgium
<size=60%>Occupied by Germany</size>",,,,,,,,,,,
Slovakia,Slovakia,,,,,,,,,,,
Slovakia Occupied USSR,"Slovakia
<size=60%>Occupied by USSR</size>",,,,,,,,,,,
Estonia,Estonia,,,,,,,,,,,
Estonia Occupied USSR,"Estonia
<size=60%>Occupied by USSR</size>",,,,,,,,,,,
Estonia Occupied Germany,"Estonia
<size=60%>Occupied by Germany</size>",,,,,,,,,,,
Latvia,Latvia,,,,,,,,,,,
Latvia Occupied USSR,"Latvia
<size=60%>Occupied by USSR</size>",,,,,,,,,,,
Latvia Occupied Germany,"Latvia
<size=60%>Occupied by Germany</size>",,,,,,,,,,,
Lithuania,Lithuania,,,,,,,,,,,
Lithuania Occupied USSR,"Lithuania
<size=60%>Occupied by USSR</size>",,,,,,,,,,,
Lithuania Occupied Germany,"Lithuania
<size=60%>Occupied by Germany</size>",,,,,,,,,,,
Iraq,Iraq,,,,,,,,,,,
Iraq Occupied UK,"Iraq
<size=60%>Occupied by United Kingdom</size>",,,,,,,,,,,
Iran,Iran,,,,,,,,,,,
Iran Occupied UK USSR,"Iran
<size=60%>Occupied by United Kingdom & USSR</size>",,,,,,,,,,,
Saudi Arabia,Saudi Arabia,,,,,,,,,,,
