Key,English
Report #1,HAVE COMPLETED TASK
Report #2,POSITION {0}
Misc Communications,General Communications
Report ID,Report #{0:00}
LostShipEvent.Title,Mission #{0:00}: Lost ship
LostShipEvent.IntroMessageKnownIdentity,"{3} has gone missing. Its last known coordinates are {1}. Please investigate before {2}.

<b>Contact was added on the map.</b>"
LostShipEvent.IntroMessageUnknownIdentity,"Our ship that belongs to {3} class has gone missing. Its last known coordinates are {1}. Please investigate before {2}.

<b>Contact was added on the map.</b>"
SinkShipMission.Title,Mission #{0:00}: Sink enemy ship
SinkShipMission.IntroMessage,We have information that a crucial technology has been loaded onto the freighter {2}. It must be sunk at all costs. Its predicted location is {1}.
SinkShipMission.IntroMessage - LendLeaseTechnology,We suspect that the Americans are going to share a crucial technology under their Lend-Lease program. Our agents determined that a prototype device along with the necessary documentation was loaded onto {2} cargo ship. It must be sunk at all costs to delay this exchange. Our best estimate is that it's currently passing through a naval square {1} with a course of {3:0}°. The ship is moving in a convoy travelling at a speed of {4}.
SinkShipMission.IntroMessage - LendLeaseWarship,"Our diplomats have determined that the Americans are passing a newly built {2} {5} to our enemies in the Lend-Lease program. If opportunity will present itself, we need this ship to be sunk to decrease support for this policy. The ship is part of a convoy travelling at a speed of {4}. It's the only {2} {5} in the convoy. We estimate that the convoy is currently in a square {1} with a course course of {3:0}°. The {5} is most likely crewed with an inexperienced crew."
SinkShipMission.IntroMessage - ReverseLendLeaseWarship,"Our diplomats have determined that the British are passing a newly built {2} {5} to the Americans as part of their reverse Lend-Lease programme. If the opportunity presents itself, we need this ship to be sunk to decrease support for this policy. The ship is part of a convoy travelling at a speed of {4}. It's the only {2} {5} in the convoy. Our best estimate is that it's currently in a naval square {1} with a course of {3:0}°. The {5} is most likely crewed with an inexperienced crew."
SinkShipMission.IntroMessage - BritishPoliticianWarshipGroup,Foreign radio reports that a major British military and political figure is on board of {2} {5} on {6}. The ship is moving with a group of other warships at a speed of {4}. We estimate that they are currently in a square {1} with a course of {3:0}°.
SinkShipMission.IntroMessage - BritishPoliticianConvoy,We have information that a major British military and political figure is on board of {2} {5} on {6}. The ship is part of a convoy moving at a speed of {4}. We estimate that the convoy is currently passing though a square {1} with a course of {3:0}°.
SinkShipMission.IntroMessage - ValuableGoods,The enemy is transporting a large quantity of highly valuable cargo on board {2} cargo ship. Sinking it will help to disrupt both enemy trade and the exchange of industrial goods. We estimate that it's currently passing through a square {1} with a course of {3:0}°. The ship is moving in a convoy travelling at a speed of {4}.
SinkShipMission.IntroMessage - RadarPrototype,A very valuable radar prototype is being transported on {2} cargo ship headed to {6} where it will be fitted onto a dedicated warship for testing. Sinking this ship will noticeably slow enemy progress in developing this technology. We estimate that it's currently passing through a square {1} with a course of {3:0}°. The ship is moving in a convoy travelling at a speed of {4}.
SinkShipMission.IntroMessage - SonarPrototype,The enemy is passing a very valuable sonar prototype on board {2} cargo ship headed towards {6} where it will undergo further testing. Sinking that ship will noticeably slow enemy progress in developing this technology. We estimate that it's currently passing through a square {1} with a course of {3:0}°. The ship is moving in a convoy travelling at a speed of {4}.
SinkShipMission.IntroMessage - HuffDuffPrototype,A very valuable high-frequency direction finder prototype is being transported by {2} cargo ship headed to {6} where it will undergo further testing. Sinking this ship will noticeably slow enemy progress in developing  this technology. We estimate that it's currently passing through a square {1} with a course of {3:0}°. The ship is moving in a convoy travelling at a speed of {4}.
GatherIntelMission.Title,Mission #{0:00}: Gather intel
GatherIntelMission.IntroMessage,We need an update on air defenses in {2}. Arrive undetected at the location and identify the fire stations by periscope. It's a priority matter and overrides your current assignment that we now consider as finished.
GatherIntelMission.FinishMessage.Title,Mission completed!
GatherIntelMission.FinishMessage,We managed to locate {1} anti-aircraft guns in {2}. Transmitting their positions.
Hello World,Have a fruitful patrol U-96!
Report,Report (value: {0})
Campaign01_Message,"Before noon on September 1, the transport vessel ""Falcon"" left port in Edinburgh. We have information that a radar technology prototype had been loaded onto it. We have reasons to think that the ship was sunk on its original course on the North Sea as a result of sabotage.

Your task is to find the wreckage, retrieve the equipment and if possible avoid being detected by the British units. We cannot be linked to the sabotage or attempts to seize the radar."
Renegade Message,"As a consequence of attacks by {0} against friendly units it is considered an enemy. Every German unit is commanded to force the submarine to capitulate or to sink it.

Stay very alert after you have sighted {0}."
AllyNeedsHelpEvent.Title,Call for help
AllyNeedsHelpEvent.ReplacementParts,"We were attacked by aircraft and sustained heavy damage. We are out of replacement parts. We are asking for help, meeting point {1}. We will stay there by {2}."
AllyNeedsHelpEvent.MedicalSupplies,"We've sustained heavy damage from depth charges and have many injured on board. We are lacking medical supplies. We need help, meeting point {1}. We will stay there by {2}."
AllyNeedsHelpEvent.Food,Some of our crew shows signs of scurvy. We are asking nearby units to share some fresh supplies of vegetables or fruits. Meeting point {1}. We will stay there by {2}.
Convoy Attack,We will be coordinating a wolf pack attack on a convoy. All nearby u-boats are called to travel to meeting coordinates {0}. Convoy is expected to arrive there at {1:g} from the direction of {2:0} degrees.
WolfpackAttackMission.ConvoyOffCourse,"The convoy has changed its course or already passed through the planned attack location. For this reason, we decided to disband this wolf pack."
PatrolAssignment.Title,Mission #{0:00}: Patrol {1} sector
PatrolAssignment.IntroMessage,Your standing order is to patrol sector {1}. Good luck.
PatrolAssignment.DestinationReached.Title,Patrol sector reached
PatrolAssignment.DestinationReached,We reached the sector {1}. Our patrol starts.
PatrolAssignment.MissionFinished.Title,Patrol completed!
PatrolAssignment.MissionFinished,We've finished the patrol inside sector {1}. We will stay around for a while before returning to port.
EspionageAssignment.Title,Mission #{0:00}: Infiltrate {1}
EspionageAssignment.IntroMessage,Transport {2} to coordinates {3} near {1}. Report to us immediately after completion of this task.
EspionageAssignment.SpyTransported.Title,Mission completed!
EspionageAssignment.SpyTransported,We transported {2} to the beach at specified coordinates.
EspionageAssignment.MissionFailed,We couldn't maintain spy's cover. Enemy was aware of our mission. We will return to port soon.
DiversionMission.IntroMessage,Our spy {1} communicated to us that his target in {0} is heavily guarded. His mission is top priority for us and has to be aided at all costs. Your order is to prepare any kind of diversion near the port to draw port defenses attention.
DiversionMission.FinalMessage.Title,Mission completed!
DiversionMission.FinalMessage,We successfully drawn port defenses attention as ordered.
PortAttackAssignment.Title,Mission #{0:00}: Attack {1}
PortAttackAssignment.IntroMessage,"In esteem to your resolve skills, high command decides to give you a special, dangerous task. Your order is to sneak into {1} and break enemy's spirits by showing them that their ships are not safe at any place. Use intelligence from the headquarters to get past enemy defences and in any case don't let your ship to fall into enemy hands. Abandon your objective and give us a full report, in case it would be too risky to proceed."
PortAttackAssignment.MissionFinished.Title,Mission completed!
PortAttackAssignment.MissionFinished,We successfully sunk {2} enemy ships and now will escape the area.
SinkAnchoredBattleshipAssignment.MissionFinished,We managed to sink {2} at the anchorage and retreated from the area. We are headed back to the port.
JoinFlotillaAssignment.Title,Mission #{0:00}: Join {1} Flotilla
JoinFlotillaAssignment.IntroMessage,Flotilla stationed at {1} needs more u-boats under its command to achieve the current goals. Your order is to travel to the target port and report to the new leading officer.
JoinFlotillaAssignment.MissionFinished.Title,Mission completed!
JoinFlotillaAssignment.MissionFinished,We docked at {1} and reported to the officer.
FreeRoamAssignment.Title,Mission #{0:00}: Patrol
FreeRoamAssignment.IntroMessage,We've undocked from {0}.
NPC Report,Report sent by {0}
Group.Title,{0} spotted!
Group,{0} spotted at coordinates {1}.
Convoy Spotted 1,"Convoy in a naval square {0}, course {1:0}°, {2}.

<i>This message is followed by bearing signals. We can track the source as long as the transmission stays active.</i>"
Convoy Spotted 2,"Convoy in a naval square {0}, pursuing, {3} distinguished. {4} course.

<i>This message is followed by bearing signals. We can track the source as long as the transmission stays active.</i>"
Convoy Spotted 3,"Several widely separated smoke clouds in a naval square {0}, suspect convoy, {5} course. Sending bearing signals.

<i>This message is followed by bearing signals. We can track the source as long as the transmission stays active.</i>"
Convoy Spotted 4,"Convoy in sight, naval square {0}. Course {1:0}°, {2}.

<i>This message is followed by bearing signals. We can track the source as long as the transmission stays active.</i>"
