Key,English
ReportEnemyPositionType,The enemy {0} has been spotted in the vicinity of position {1}.
ReportEnemyPositionDirectionType,"The enemy {0} has been spotted in the vicinity of position {1}, bearing {2}."
ReportAlliedPositionType,An ally {0} is near your location in the vicinity of position {1}.
Situation Update,Situation Update
Campaign 01: Beginning,Beginnings
Campaign 01: Beginning Description,
Campaign 01: Beginning MeetTheCaptain,Meet the captain.
Campaign 01: Beginning LeaveBaggage,Leave the baggage at your bunk.
Campaign 01: Beginning OpenMap,Open the map in the control room.
Campaign 01: Beginning SetDestination1,Set destination.
Campaign 01: Beginning SetDestination2,Add a second destination.
Campaign 01: Beginning SetDestination3,Add a third destination.
Campaign 01: Beginning SetDestination4,Add a fourth destination.
Campaign 01: Beginning Discipline,Find and discipline sailors that don't do their duties.
Campaign 01: Beginning RestockFood,Restock food in the galley.
Campaign 01: Beginning ReadMessageFromBdU,Read the message from BdU.
Campaign 01: Beginning ReachDestination,Reach the destination.
Campaign 01: Beginning EnableReflector,(Optional) Turn on the searchlight.
Campaign 01: Beginning FindWreck,Find the wreck.
Campaign 01: Beginning ApproachWreck,Approach the wreck.
Campaign 01: Beginning SearchTheCargo,Search the cargo floating on the surface ({0}/{1})
Campaign 01: Beginning EquipDivingSuit,Equip the character with a diving suit.
Campaign 01: Beginning SendDiver,Send a diver.
Campaign 01: Beginning PullOutTheRadar,Pull up the radar from the wreck.
Campaign 01: Beginning ObtainRadar,Transport the radar to the main storage room.
Campaign 01: Beginning ObtainRadar2,Transport the radar to the main storage room.
Campaign 01: Beginning MeetTheCaptain2,Meet the captain.
Campaign 01: Beginning CutTheRope,Cut the rope with the diver.
Campaign 01: Beginning Dive,Flood the ballast tanks and dive.
Campaign 01: Beginning Escape,Escape from the destroyer.
Campaign 01: Beginning EvacuateCompartment,Evacuate the compartment.
Campaign 01: Beginning RepairHatch1,Take replacement parts.
Campaign 01: Beginning RepairHatch2,Repair the hatch.
Campaign 01: Beginning EnablePump,Turn on the pump.
Campaign 01: Beginning Surface,Blow the ballast tanks and surface.
Campaign 01: Beginning EquipRebreather,Put on the breathing apparatus.
Campaign 01: Beginning OpenFloodedCompartment,Open the flooded compartment.
Campaign 01: Beginning RepairHullHole,Repair the hole in the pressure hull.
Campaign 01: Beginning RepairAirCompressor,Repair the air compressor.
Campaign 01: Beginning RegenerateAirReserves,Renew air reserves.
Campaign 01: Beginning RepairElectricEngines,Repair electric engines.
Campaign 01: Beginning ShotDownTheAircraft,Shoot down the aircraft.
Campaign 01: Beginning DetectTheCarrier,Detect the nearby aircraft carrier.
Campaign 01: Beginning ApproachTheCarrier,Attack the carrier.
Campaign 01: Beginning SinkTheCarrier,Sink the carrier.
Campaign 01: Beginning Escape2,Escape from the escort.
