Key,English
HydrophoneDetectability,Noise
HydrophoneDetectability/Description,The total noise generated by your boat minus the environmental noise.
VisualDetectability,Visibility
VisualDetectability/Description,The visibility of your ship in the current environment.
SignatureRadius,Radar Signature
SignatureRadius/Description,Radars whose wavelength is longer than this value won't be able to detect you.
RadarDetectability,Radar Detectability
SonarDetectability,Sonar Detectability
SonarDetectability/Description,Determines how audible your boat is to the active sonars on the surface.
Depth,Current depth
Detected,Detected
Hunted,Being hunted
Alarm,Alarm
Low Discipline,Low discipline
High Discipline,High discipline
Base,Base
Gyrocompass,Gyrocompass
Hull,Hull
Navigation System,Steering engines
Diesel Engine,Diesel engines
Snorkel,Snorkel
Surface Noise,Surface noise
Electric Engine,Electric engines
Sonar Decoy,Sonar Decoy
Budget,Budget
Budget/Description,The budget assigned to us by Kriegsmarine for resupply and improvements to our equipment.
Energy,Battery capacity
Energy/Description,Energy is generated by diesel engines and consumed by many devices on the boat.
Oxygen,Air quality
Oxygen/Description,"The freshness of the air on the boat may be increased in many ways, but the best way is to simply surface the boat."
Discipline,Discipline
Discipline/Description,Discipline determines how resistant to combat stress your crew is.
Stress,Strain and stress
Stress/Description,"Many members of your crew are close to the limit. If stress rises further to the maximum value, one of your sailors may break and reveal his weakness."
Fuel,Fuel
Fuel/Description,Consumed by diesel engines.
Crew,Crew
Fresh Air,Fresh air
Shadow Zone,Shadow zone
Seabed Proximity,Seabed proximity
Surface Disturbances,Surface disturbances
Cavitation,Cavitation
Hunger,Hunger
Attack Periscope,Attack periscope
Diesel Compressor,Diesel compressor
Electric Compressor,Electric compressor
Time of Day,Time of day
U-Boat Radar Detector/RadarDetectorRange,Radar detector range
U-Boat Radar Detector/Wavelength,Radar detector wavelength
UnderwaterMoraleLoss,Underwater morale loss
TransmissionDuration,Radio transmission duration
HydrophoneRange,Hydrophone range
HydrophoneRange Short,"<sprite name=""DetectionRange""> Hydrophone (Units)"
GroupHydrophoneRange Short,"<sprite name=""DetectionRange""> Hydrophone (Groups)"
RadarDetectorRange Short,"<sprite name=""DetectionRange""> Radar Detector (Units)"
GroupRadarDetectorRange Short,"<sprite name=""DetectionRange""> Radar Detector (Groups)"
ReceiveRange Short,"<sprite name=""DetectionRange""> Reception Range"
SonarRange Short,"<sprite name=""DetectionRange""> Sonar (Units)"
SightRange Short,"<sprite name=""DetectionRange""> Observation (Units)"
GroupSightRange Short,"<sprite name=""DetectionRange""> Observation (Groups)"
Noise Short,"<sprite name=""Noise""> Noise"
Length Short,"<sprite name=""Misc""> Length"
Visibility Short,"<sprite name=""Misc""> Visibility"
SignatureRadius Short,"<sprite name=""Misc""> Signature radius"
MaximumGear Short,"<sprite name=""Misc""> Max. Gear"
TransmissionRange,Transmission range
TransmissionRange Short,"<sprite name=""DetectionRange""> Transmission range"
Cloudiness,Cloudiness
Fogginess,Fog
Fog,Fog
Rain,Rain
Temperature,Temperature
Thunder,Storm
Propeller,Propeller
Sun Position,Time of day
Reflector,Searchlight
Pumps,Pumps
Lightings,Lightning strikes
Steering Engines,Steering engines
Reputation,Reputation
Reputation/Description,Progress to gain the next reputation point. Reputation points may be used to buy improvements in the port.
Music,Music
Ventilation,Ventilation
FoodTypes,Varied dishes
PlayCardsAction,Playing cards
Silent Run,Silent running (blue lighting)
Normal Lighting,Normal lighting
Red Lighting,Red lighting
Work for Officers,Too much work from officers
Bounty,Bounty hunt
Resource Usage Suffix,usage
Additional Sailors - Engines,Additional sailors - engines
Additional Sailors - Navigation,Additional sailors - navigation
CookAction,Cook
Mark VII Depth Charge Shell,Depth charge explosions
Mark VII Heavy Depth Charge Shell,Depth charge explosions
Mark VII Upgraded Depth Charge Shell,Depth charge explosions
Fatigue,Fatigue
Crew Noise,Crew
Dirtiness,Dirty interiors
Torpedo Loading,Torpedo loading
Torpedo Warming,Torpedo maintenance
Diesel Engines Exhaust Smoke,Diesel engines exhaust
Vacation,Vacation
Sight Range Gain,"<sprite name=""pEye"">Sight range: +{0:0%}
<sprite name=""pAim"">Aiming speed: +{1:0%}"
Sight Range Neutral,"<color=#777><sprite name=""pEye"">Sight range: normal
<sprite name=""pAim"">Aiming speed: normal"
Radio Range Gain,"<sprite name=""pRadio"">Radio range: +{0:0%}"
Radio Range Neutral,"<color=#777><sprite name=""pRadio"">Radio range: normal"
Fuel Usage Gain,"<sprite name=""pGear"">Allowed gear: {0}
<sprite name=""pFuel"">Fuel usage: -{1:0%}
<sprite name=""pTime"">Order exec. time: -{2:0%}"
