Key,English
CalmDown,Calm down
Faster,Faster!
FirstAid,First aid
HydrophoneOperator,Listen
Inspection,Inspection
Motivation,Motivation
Protection,Protect
Punish,Punish
Decode,Decode
Repair,Repair
Work,Work
Panic,Panic
BoostMorale,Motivation
Inspection Description,Engineers having this expertise can check devices for hidden faults that may be revealed in the future.
Authority,Authority
Engineering,Engineering
Inspection,Inspection
Torpedo Conservation,Torpedo conservation
Advanced Communications,Advanced communications
Radioman,Radioman
Radioman Description,Radiomen are specialists in telecommunication devices usage. They may also obtain medical training.
Leader,Leader
Leader Description,Leaders take care of crew matters and they control devices meant for visual observation.
Engineer,Engineer
Engineer Description,Engineers are specialists in the usage and conservation of devices on board.
Salvager,Salvager
Salvager Description,The engineer can produce spare parts from scrap in the workshop in the Stern Torpedo Room.
Handyman,Handyman
Handyman Description,Repairs consume 25% less time.
Torpedo Mechanic,Torpedo Mechanic
Torpedo Mechanic Description,The officer loads torpedoes 33% faster.
Pyrotechnic,Sapper
Pyrotechnic Description,"The engineer is familiar with the use of explosives and can use them to effectively sink enemy units, saving torpedoes and ammunition.
<line-height=50%>
<line-height=100%>When this officer is assigned to the command station, he is also providing an advice for the sailors taking care of the torpedo launch procedure and the officers creating torpedo solutions to use the torpedoes more effectively against the target. This increases the effective damage done by 6%. The officer has to be present during both the torpedo flooding and the launch for this to happen."
Gunner,Gunner
Gunner Description,"The officer shoots more accurately from the cannon and guns. In manual mode, the recoil stabilization increases."
Focus,Focus
Focus Description,The officer traces enemy ships by UZO and periscopes by 25% faster. Periscope is additionally stabilized in manual mode.
Iron Fist,Iron Fist
Iron Fist Description,"Unlocks the ability to quickly knock out a sailor who has panicked instead of calming him down.
<line-height=50%>
<line-height=100%>Also, when this officer is assigned to the command station, he is keeping a close eye over the crew to ensure that everyone is quiet. Noise made by the crew as well as by torpedo loading is decreased by 30% and further 15% for each assigned sailor to him."
Management,Management
Management Description,Officer may recruit an additional sailor to aid him.
Medical Training,Paramedic
Medical Training Description,"The officer may provide medical help without the use of a first aid kit. With the first aid kit, this is done twice as fast as normal."
Sensitive Hearing,Sensitive Hearing
Sensitive Hearing Description,"The officer has spent tens of hours on the hydrophone and learned to better recognize the quiet sounds from the background. The officer can detect enemy ships from 25% greater distance. In addition, in manual mode, the sea noise is slightly quieter."
Medical Coordinator,Medical Coordinator
Medical Coordinator Description,"The sailors assigned to the officer are able to provide medical assistance, but they do it noticeably slower than the officers."
Researcher,Researcher
Researcher Description,The officer can analyze captured allied equipment in the workshop to gain an acceleration of random technology research of 40% or unlock new minor research in headquarters.
Cook,Cook
Cook Description,The officer can be assigned to work in the galley. He provides a discipline bonus for the crew by working there.
Connections,Connections
Connections Description,The officer meets all class requirements for the missions in the headquarters.
Specialist,Expert
Specialist Description,Assignments performed by the officer in the headquarters are done 35% faster.
Skipper,Skipper
Radio Usage Practice,Radio Usage Practice
Radio Usage Practice Description,"The officer has long practice of using the radio and can both receive and send messages 33% faster, considerably decreasing the chance that enemy will notice and triangulate the transmission in the latter case."
Engine Specialist,Engine Specialist
Engine Specialist Description,"This engineer perfectly knows how to handle the diesel engines on u-boats. There will be no visible smoke coming from the engines when this officer works at the station, lowering enemy chances of spotting your boat. If your boat is using a snorkel, smoke is still there, but is less visible than normal."
Thrifty,Mechanic
Thrifty Description,"This engineer recovers some scrap from completed major repairs.
<line-height=50%>
<line-height=100%>Also, when this officer is assigned to the command station, he is overseeing more complex maintenance tasks over the devices on the ship. This further decreases the inflicted damage on them by 5% for each sailor assigned to the officer, on top of the base class bonus."
Merchant,Merchant
Merchant Description,"When this officer personally visits warehouse in a port or is a part of delegation on a supply ship, he gets 25% lower prices for goods (this effect is not cumulative from multiple officers). Using this knowledge he can also evaluate, if the goods stated in the shipping documents of a neutral freighter match the imports of their claimed destination port to find out, if they are smugglers or not."
Personal Skills,Personal Skills
Personal Skills Description,"Playing cards with crew increases morale by 25%. The presence of this officer during various events, increases success chance of persuasion checks.
<line-height=50%>
<line-height=100%>Also, when this officer is assigned to the command station, the stress growth on the ship is slowed by 10% and further 10% for each sailor assigned to the officer."
Supporter,Supporter
Supporter Description,"When stress on board rises to 100% during an alarm situation for the first time, the presence of this officer adds courage to the rest of the crew and there are no negative effects from it."
Tough,Tough
Tough Description,This officer is tougher than most and can stand more damage. He receives an additional health point.
Runner,Runner
Runner Description,This officer is always in hurry. He both walks and runs 10% faster than normal.
Determined,Determined
Determined Description,"This officer likes living and always finds a way to survive  hardship. When he is rendered unconscious on the deck or conning tower, he usually manages to get inside the boat, instead of falling overboard. The bleedout time for this officer is also increased by 50%."
Aim,Aim
Aim Description,"The officer shoots more accurately from the cannon and guns. In manual mode, recoil stabilization increases."
English Speaker,English Speaker
English Speaker Description,This officer can communicate fluently in English. It may be useful during offship missions.
