Key,English
C01_SkipperHello,Officer Kohler.
C01_SkipperHello2,"Get on board and prepare for the road. Our orders are on my desk, make yourself familiar with them."
C01_SkipperOrders1,"We were ordered to travel at coordinates {0}. Today, we will train."
C01_WarDeclarationRadioman,"Skipper, you need to see this immediately!"
C01_WarDeclarationObservator,Skipper! The destroyer is readying its battle stations!
C01_WarDeclarationSkipper,"Damn, they declared the war on us."
C01_WarDeclarationSkipper2,"Kohler, fast! Cut out Sommer or we all are done!"
Punishment - Pardon,This time you’re off the hook. Get back to work!
Punishment - Toilet,Instead of free time you’ll be cleaning the toilets. It's the ideal place for people like you. And now get to work!
Punishment - Arrest,You’re under arrest. You’ll have time to think about your entire life.
Punishment - Death,Now you’ll experience your last honor in your wretched life - death at the hands of a Kriegsmarine officer.
Punishment - Comment Trauma,You are still shivering... you coward!
Punishment - Comment Procrastinating,A Kriegsmarine sailor is always alert. Be ashamed!
Punishment - Comment Kitchen,Burning scrambled eggs is something that we treat seriously on this boat.
Faster! Faster!,Faster! Faster!
Slow Down,We’re slowing down!
Move! Move! Move!,Move! Move! Move!
Blow the tanks,Blow the tanks!
Switch to Electric Engines,Switch to electric engines!
Switch to Diesel Engines,Switch to diesel engines!
Repair Completed,Repair completed!
Alarm crash diving!,Alarm! Crash dive!
Alarm take your positions!,Alarm! Take your positions!
Alarm! Enemy destroyer in sight!,Alarm! Enemy destroyer in sight!
50 meters,50 meters.
100 meters,100 meters.
150 meters,150 meters.
200 meters,200 meters.
250 meters,250 meters.
Depth_10,Periscope depth.
Depth_20,20 meters.
Depth_30,30 meters.
Depth_40,40 meters.
Depth_50,50 meters.
Depth_60,60 meters.
Depth_70,70 meters.
Depth_80,80 meters.
Depth_90,90 meters.
Depth_100,100 meters.
Depth_110,110 meters.
Depth_120,120 meters.
Depth_130,130 meters.
Depth_140,140 meters.
Depth_150,150 meters.
Depth_160,160 meters.
Depth_170,170 meters.
Depth_180,180 meters.
Depth_190,190 meters.
Depth_200,200 meters.
Depth_210,210 meters.
Depth_220,220 meters.
Depth_230,230 meters.
Depth_240,240 meters.
Depth_250,250 meters.
Depth_260,260 meters.
Depth_270,270 meters.
Depth_280,280 meters.
Depth_290,290 meters.
Depth_300,300 meters.
Depth_310,310 meters.
Depth_320,320 meters.
Hit,It's a hit!
Non Target Hit,Torpedo hit enemy!
We Are Near Wreck,We are near the wreck.
Target Reached,"Skipper, we reached our target."
Enemy Miss,That was close!
Miss,It's a miss.
Torpedo Progress - Half,The torpedo covered half the distance.
Torpedo Progress - 40,40 seconds to impact.
Torpedo Progress - 30,30 seconds.
Torpedo Progress - 20,20 seconds.
Torpedo Progress - 10,10 seconds to impact.
Torpedo Failure,Torpedo was a dud.
Enemy Sink Comment,   
Hooray,   
Target Damage - Minimal,Minimal damage.
Target Damage - Major,Serious damage.
Target Damage - Fire,Fire on board.
Target Damage - Evacuation,The crew evacuates the ship.
Target Damage - Sinking,The ship is sinking.
Damage Report,Damage report!
Rohr I - Bewassern,Flood tube I!
Rohr II - Bewassern,Flood tube II!
Rohr III - Bewassern,Flood tube III!
Rohr IV - Bewassern,Flood tube IV!
Rohr V - Bewassern,Flood tube V!
Rohr I - Bewassert,Tube I flooded!
Rohr II - Bewassert,Tube II flooded!
Rohr III - Bewassert,Tube III flooded!
Rohr IV - Bewassert,Tube IV flooded!
Rohr V - Bewassert,Tube V flooded!
Rohr I - Geladen,Tube I loaded!
Rohr II - Geladen,Tube II loaded!
Rohr III - Geladen,Tube III loaded!
Rohr IV - Geladen,Tube IV loaded!
Rohr V - Geladen,Tube V loaded!
Set Capture Course,Set an interception course.
Set Course,Change course.
Set Course On Coordinates,Set a course to these coordinates.
Confirmation (Portrait),Yes sir!
Confirmation,Yes sir!
LOS!,Fire!
Finish them,Finish them off!
Compute torpedo course,Calculate torpedo course.
Delusional - MI6,MI6 has their equipment here.
Delusional - Save Us,I’ll save us!
Delusional - Don't Be Afraid,I won’t let them get us. Don’t be afraid my brothers!
Manic Laughter,<laughter>
Lunatic Talk,<lunatic talk>
Panic - Cry,<crying>
Panic - This is End,This is the end!
Panic - We Will Die,We’ll all die!
They'll detect us!,Are you crazy? They'll detect us!
Stop shouting,Stop making noise!
Be Quiet,Be quiet! They will hear us.
"Get a grip, boy!","Get a grip, boy!"
Damage - Leak,Alarm! Leak on board!
Damage - Diesel Engines,Skipper! The diesel engines are damaged!
Scheisse!,Damn it…
Faster!,Faster!
Under Fire,We are under fire!
We're sitting ducks!,We're sitting ducks!
You'll not take me alive!,You'll not take me alive!
Sani!,Medic!
I need help!,I need help!
Argh!,Argh!
Leading Officer - Good Patrol,Admiralty is deeply impressed by your last patrol. Solid work captain!
Leading Officer - Mission Selection Comment,These are current orders from the headquarters. Your eyes only.
Leading Officer - Vacation Comment,Take a look.
Depository Worker - What do You Need,What do you need officer?
Depository Worker - Take a Look,Take a look.
Recruitment Officer - Hello,"Captain. This may be your new crew. Let me know, if you want to see their files."
Hydrophone Report - Depth Charge,Depth charges!
Hydrophone Report - Propeller Above,Ship propellers. Directly above us.
Hydrophone Report - Sonar,"Skipper, we're being pinged on sonar."
Contact - Ally Ship At,Ally ship at {0} hour.
Contact - Enemy Aircraft At,Enemy aircraft at {0} hour!
Contact - Enemy Civilian Ship At,Enemy civilian ship at {0} hour!
Contact - Enemy Destroyer At,Enemy destroyer at {0} hour!
Contact - Enemy Escort Ship At,Enemy escort ship at {0} hour!
Contact - Enemy Freighter At,Enemy freighter at {0} hour!
Contact - Neutral Ship At,Neutral ship at {0} hour.
Contact - Neutral Wreckage At,Wreckage at {0} hour.
Periscope Depth,Periscope depth.
Surface the ship!,Surface the ship!
Deck awash!,Deck awash!
Periscope depth!,Periscope depth!
Crush depth!,Crush depth!
Maximum safe depth!,Maximum safe depth!
Stern electric station damaged!,Stern electric station damaged!
Bow electric station damaged!,Bow electric station damaged!
Ballast tank valves are damaged!,Ballast tank valves are damaged!
Pump damaged!,Pump damaged!
Combat periscope damaged!,Combat periscope damaged!
Observation periscope damaged!,Observation periscope damaged!
UZO damaged!,UZO damaged!
A leak in the Stern Torpedo Room!,A leak in the Stern Torpedo Room!
A leak in the Engine Room!,A leak in the Engine Room!
A leak in the Galley!,A leak in the Galley!
A leak in the Crews Quarters!,A leak in the Crews Quarters!
A leak in the Control Room!,A leak in the Control Room!
A leak in the Officers Room!,A leak in the Officers Room!
A leak in the Bow Torpedo Room,A leak in the Bow Torpedo Room
A leak in the Conning Tower,A leak in the Conning Tower
The cannon damaged!,The cannon damaged!
Gun damaged!,Gun damaged!
Compressor damaged!,Compressor damaged!
Show me their files.,Show me their files.
I will choose crew for the next assignment.,I will choose crew for the next assignment.
Are there any orders from the admiralty?,Are there any orders from the admiralty?
I would like to ask for a few favors...,I would like to ask for a few favors...
Show me what you've got.,Show me what you've got.
?I want to upgrade my ship.,?I want to upgrade my ship.
Goodbye.,Goodbye.
Attention!,Attention!
10 more laps!,10 more laps!
Leading Officer - Welcome To Your New Flotilla,Welcome to your new flotilla. How can I help?
Leading Officer - Assignment Failed,It's a pity that your last assignment didn't go well. Headquarters had great expectations. May the next mission be more successful.
Hydrophone Report - Convoy,Skipper! I hear a large group of ships. It seems to be a convoy.
Hydrophone Report - Large Group,Skipper! I hear a large group of ships.
Hydrophone Report - Propeller,"Skipper, propellers detected."
Issue Attack Order,Issue Attack Order!
An die Arbeit!,   
Go to Station,   
Tired - Declare,Eh... so tired.
Tired - Pause,Time for a break.
Rested - On Duty,On duty!
Rested - Ready for Duty,Ready for duty!
Tired During Emergency,I have to take a break soon...
Battle of the Atlantic II Narration 01,Allies adapted to some of our tactics and battle of the Atlantic is now much different than it used to be.
Battle of the Atlantic II Narration 02,Cargo ships headed at the Britain often travel in a heavily armed convoys across the Atlantic.
Battle of the Atlantic II Narration 03,RAF Coastal Command has much more aircraft at the disposal. They are also better equipped.
Battle of the Atlantic II Narration 04,"Still, their defence strategy has a major weak spot in which we are going to hit..."
Battle of the Atlantic II Narration 05,We call it the Mid-Atlantic Gap. It's beyond the range of their aircraft and our u-boats can strike there more safely.
Battle of the Atlantic II Narration 06,To overwhelm the defences of the convoys we will strike using a new tactic that we call a wolfpack attack.
Battle of the Atlantic II Narration 07,"We are going to win this battle, skipper."
NPC - What do You Need,   
NPC - Hmm,   
Alarm cancelled,Alarm cancelled.
