Key,English
EpidemicStory Title,Tuberculosis
EpidemicStory,"Skipper! Maybe I am not a doctor, but I recognize tuberculosis without a shadow of a doubt. {0} requires medical attention, we need to be on our toes so that the disease does not spread."
EpidemicStory.Accept,Damn it!
EpidemicStory.Accept Tooltip,- {0} becomes ill with tuberculosis. - Send a medic to start treatment.
CookFaultStory Title,Burned scrambled eggs
CookFaultStory,"Several sailors have complained about meals prepared by {0}. The ship�fs cook shakes with fear aware of the purpose of my visit. After all, he wasted a large part of the rations. What punishment would be appropriate for him?"
CookFaultStory.Pardon,Warning
CookFaultStory.Pardon Tooltip,- No effect.
CookFaultStory.ToiletCleaning,Toilet cleaning
CookFaultStory.ToiletCleaning Tooltip,- {0} will clean the toilets. During this time he will be unavailable. - Discipline grows by {1}%.
CookFaultStory.Brig,Arrest
CookFaultStory.Brig Tooltip,- {0} will be placed in the brig. He won't be available during this time. - Discipline grows by {1}%.
CookFaultStory.Execution,Execution
CookFaultStory.Execution Tooltip,- {0} will be executed. - Discipline grows by {1}%.
ProcrastinatingSailorStory Title,Sleeping sailor
ProcrastinatingSailorStory,It looks like {0} decided to take a nap while on his duty. We should react to such a blatant lack of discipline. What punishment would be appropriate for him?
ProcrastinatingSailorStory.Pardon,Warning
ProcrastinatingSailorStory.Pardon Tooltip,- No effect.
ProcrastinatingSailorStory.ToiletCleaning,Toilet cleaning
ProcrastinatingSailorStory.ToiletCleaning Tooltip,- {0} will clean the toilets. During this time he will be unavailable. - Discipline grows by {1}%.
ProcrastinatingSailorStory.Brig,Arrest
ProcrastinatingSailorStory.Brig Tooltip,- {0} will be placed in the brig. He won't be available during this time. - Discipline grows by {1}%.
ProcrastinatingSailorStory.Execution,Execution
ProcrastinatingSailorStory.Execution Tooltip,"- {0} will be executed.
- Discipline grows by {1}%."
LostShipStoryA1 Title,Lost ship
LostShipStoryA1,{0} is floating on the surface without a living soul on deck. Inspection from our boat makes it clear that the boat sustained major damage. It remains a mystery though what happened to the crew and why the enemy left it in such state while at sea
LostShipStoryA1.Investigate,Go on board.
LostShipStoryA1.Investigate Tooltip,- {1} goes to the ship deck to continue the story.
LostShipStoryA1.Cancel,Cancel.
LostShipStoryA1.Cancel Tooltip,Something is wrong. I won't be risking the lives of the crew.
LostShipStoryA2 Title,Lost ship
