Key,English
Invade Poland,Invade Poland
Build: La Rochelle Pen,Build: La Rochelle Pen
Build: La Rochelle Pen Description,"Construction of a submarine pen in La Rochelle is progressing very slowly due to disorganized concrete supply and somebody needs to take an action to finally speed things up.

It's a top priority for Kriegsmarine. We need more westbound bases to increase our presence and block enemy trade on the Atlantic.

Effects:
- La Rochelle will gain a dockable submarine base.
- 3rd U-boat Flotilla will form there deploying up to 100 more u-boats on the Atlantic."
Operation Weserubung,Operation Weserubung
Operation Weserubung Description,"The German command was alerted by the information about the intention of the British taking over ports in Norway. The decision to invade Norway become fact.The core of the military landing on Narvik is the 3rd Mountain Division, whose individual units have been boarded on fast and heavily armed ships that give us a good chance to surprise the enemy.The area of the North and Norwegian Sea is in the immediate vicinity of large Royal Navy centers, which makes the whole operation very dangerous. We need the support of the best trained and most faithful officers. The Reich counts on you!

Summary:
- Meet the fleet at the gathering point.
- Report dangers and eliminate enemies on the way to Norwegian coast.
- Investigate enemy activity at Scapa Flow.
"
Research Rewards,"Research has been completed. Visit port, if you would like to refit your u-boat."
ItemsProduction Rewards,"Equipment was successfully passed to production. Visit port, if you would like to refit your u-boat."
Research Snorkels,Snorkels
Research Snorkels Description,"Some of the Dutch submarines that we captured use a curious device called by them a <i>sniffer</i>. It's a pipe system that allows them to use diesel engines while staying at periscope depth.

As the danger from allied aircrafts increases with each passing month and surface of the seas becomes too dangerous to operate for the u-boats, this technology may prove to be vital. Our submarines wouldn't have too surface that often.

We are already working on the adaptation of this technology to our u-boats, but advice from experienced officer serving on the u-boat would help to develop it much faster."
Research Anti-Radar Coated Snorkel,Anti-Radar Coating for Snorkels
Research Anti-Radar Coated Snorkel Description,"It's possible that enemy radars may be able to detect retracted snorkels, when the boat is submerged. There are some ways to counter that, by coating our snorkels with materials that disperse radar waves."
Research FuMB 1 ?Metox”,"""Metox"" Radar Detector (T1)"
Research FuMB 1 ?Metox” Description,"After Rommel's troops captured British Wellington aircraft in North Africa, its radar technology was a subject of our ongoing ?investigation.

Metox & Grandin company in Paris is working on a device that would be able to detect these radars from large distances and give our u-boats early warning. Our u-boats would be much safer from air patrols with this technology as they would simply submerge long before aircrafts would arrive at their location.

While there are already working prototypes of such detector, a help from experienced officer would speed up its practical integration on our u-boats."
Research FuMB 10 ?Borkum”,"""Borkum"" Radar Detector (T2)"
Research FuMB 10 ?Borkum” Description,"There are growing reports of surprise aircraft attacks despite careful use of ?Metox” radar detector. Interrogations give us a clue that enemy may have a technology to detect ?Metox” radar detectors themselves from much larger range than is normally possible. Our tests indeed suggest that this detector creates some own emissions, so this is possible.

Our military researchers already work on a new radar detector, codenamed ""Borkum"", that would be free of such emissions and would have a bit better spectrum coverage. Sadly, there are still multiple technical obstacles to pass. Help of experienced radio technician would definitely help."
Research FuMB 7 ?Naxos I”,"""Naxos"" Radar Detector (T3)"
Research FuMB 7 ?Naxos I” Description,"Whilst examining the wreckage of an RAF Short Stirling that was shot down by Luftwaffe over Rotterdam we discovered that Allies started to use radar technology operating at 10 cm frequency. It's a major technological breakthrough and our current radar detector designs aren't capable of detecting them.

Our response to this finding is a new radar detector device called ?Naxos”. It would theoretically be able to detect all radars operating at 8 to 12 cm frequencies."
Research FuMB 26 ?Tunis”,"""Tunis"" Radar Detector (T4)"
