/MapUI,English
Time on Sea,"{0} days, {1} hours at sea"
Time on Sea Short,{0} hours at sea
Depth,Depth
Group Tooltip,"{0} ({1})
Pos. inaccuracy: {2:0}"
Group Tooltip Short,{0} ({1})
Time on Sea Tooltip,Time at sea.
Wind Speed Tooltip,Wind speed.
Navigation Correctness Tooltip,Navigation Correctness.
Navigation Error Tooltip,Navigation error.
Depth Tooltip,Depth.
Coordinates Tooltip,Coordinates.
Exit Map,Exit map
Center Camera,Center the view
Lost on the Sea,"Our ship's position is undetermined
<size=80%>Full map is not available."
Full Map Tooltip,"<b>Full map</b>

This default map mode merges world and situational maps into one. It's available only when our ship's position in the world is determined."
World Map Tooltip,"<b>World map</b>

Displays lands, seas and ports."
Situational Map Tooltip,"<b>Tactical map</b>

Displays our ship's neighbourhood and detected contacts."
Similar To,Similar to {0}
Compass Tooltip,Compass
Protractor Tooltip,Protractor
Ruler Tooltip,Ruler
Marker Tooltip,Markers
Eraser Tooltip,Eraser
Contact Warning,Inaccurate contact! Units may be anywhere in a radius of {0}.
Capture Course Impossible,Interception not possible
Estimated Torpedo Course,Est. torpedo course
Estimated Salvo Spread,Est. salvo spread
/PeriscopeUI,English
Start,Start
Stop,Stop
Set,Set
Acquired Data Label,Collected data: {0:0}%
Identification Book Data,"Displacement: {0} t<pos=150>Speed: {3}
Length: {1} m<pos=150>Range: {4} mi
Beam: {2} m<pos=150>Masts height: {5} m
Draught: {6} m"
Stadimeter Tooltip,"<b>Stadimeter Tool</b>
The stadimeter is a tool used to estimate the distance to a target."
Chronometer Tooltip,"<b>Chronometer Tool</b>
The chronometer is usually used to estimate the velocity of a target."
Course Tooltip,"<b>Course Tool</b>
Tool used to estimate the course of a target."
Course Tooltip Warning,"<b>Course Tool</b>
Tool used to estimate the course of a target.

<color=red>This tool cannot be used without a selected target.</color>"
Identification Book Tooltip,"<b>Identification Book</b>
Contains outlines and data of all common ship classes known to us."
Velocity Tooltip,Velocity
Distance Tooltip,Distance
Course Tooltip,Course
Velocity Label,Velocity
Distance Label,Distance
Course Label,Course
Launcher Tooltip,Torpedo tubes
Zoom Tooltip,Zoom
Color Filter Tooltip,Color filter
Change View Tooltip,View mode
Lock,Lock
Unlock,Unlock
Unknown,Unknown
Stadimeter Help Text,"Use ""Q"" and ""E"" to rotate the ""ghost"" image so that its sea level is on the level of highest mast of the target ship."
Stadimeter Warning Text,"Please identify the ship first, if you would like to use stadimeter to compute a distance to this target."
Chronometer Help Text,"Instructions: 
1. Point the periscope at the front of your target. 
2. Start the chronometer. 
3. Wait for the whole ship to get past the observed point and stop the chronometer."
Course Help Text,Rotate the arrow to visually match the course of your target just as you see it.
AOB Help Text,"Rotate the arrow to set the angle on bow (AOB), which is an angle at which your u-boat appears to be from the perspective of someone on the target ship's bow."
Frachter Warning,"This is an example of a freighter that was built using an individual, not standarized design. Using data supplied here in calculations for ships that are similar to it visually may introduce errors reaching 20%."
Recognize,Recognize
Course,Relative course
AOB,Angle on bow
Help,Help
Unknown Ship,Unknown ship
Chronometer Tool Tutorial #1,"In this video, we will determine ship's velocity using a chronometer."
Chronometer Tool Tutorial #2,"First, point the periscope directly at the target ship's bow and click ""Start"" button."
Chronometer Tool Tutorial #3,Then you need to wait for the entire ship to travel past the periscope's center.
Chronometer Tool Tutorial #4,You can use time compression to make this process faster.
Chronometer Tool Tutorial #5,"Once the ship's stern passes through, click ""Stop"" and then ""Set""."
Chronometer Tool Tutorial #6,The measurement is now complete and computed velocity appeared in a respective field.
Stadimeter Tutorial #1,"In this video, we will determine a ship's distance using a stadimeter."
Stadimeter Tutorial #2,"Use ""Q"" and ""E"" on the keyboard to move a ghost image."
Stadimeter Tutorial #3,"Move it in such a manner, that the waterline of one of the images is at the same height as the highest mast of the ship."
Stadimeter Tutorial #4,"Once you are satisfied, click ""Set"" button."
Stadimeter Tutorial #5,"Ship's distance that resulted from the measurement, will appear in the respective field."
Identification Book Tutorial #1,"In this video, we will determine ship's class using an identification book."
Identification Book Tutorial #2,Switch pages of the book until you see a ship with similar shape.
Identification Book Tutorial #3,Pay attention to characteristic elements of the ship's superstructure and make sure that it's the right ship.
Identification Book Tutorial #4,"Remember, if you identify the ship in a wrong way, all other measurements may be incorrect. It's the most important step in that sense."
Identification Book Tutorial #5,"Once you confirm your selection, selected ship class will appear in the respective field."
Course Tool Tutorial #1,"In this video, we will determine a ship's course using the course tool."
Course Tool Tutorial #2,Look at the target ship and try to deduce its course in degrees relative to your periscope.
Course Tool Tutorial #3,Here are some examples to get you started.
Course Tool Tutorial #4,"Once you are done, the course will appear in the respective field."
/Telegraph,English
Button 4,Forward 1
Button 3,Forward 2
Button 2,Forward 3
Button 1,Forward 4
Button 0,Forward 5
Button 11,Reverse 1
Button 12,Reverse 2
Button 13,Reverse 3
Button 14,Reverse 4
Button 15,Reverse 5
Button 5,Diesel motors
Button 6,Alarm!
Button 7,Stop
Button 8,Electric motors
Button 9,
Button 10,Stop & charge the battery
,
/Banners,English
Experience Gain,+{0} XP
Level Up,Level up!
,
/Journal,English
Empty Report,(Nothing to report)
Report Value,Report value: {0}
Messages Header,Messages
Header,Ship log
Subjects Header,Subjects
Report Header,Report
Enter Text,Enter contents…
Create,Create
,
/Travel Confirmation,English
Title,Travel
Description,"Travelling to {0} will take us {1}, consume {2} tons of fuel and {3} food units.

Navigation penalty: {4}%."
,
,
/ActiveMissionSummaryUI,English
NextStepLabel,"<size=14><color=#ffee66>New objective:</color></size>
{0}"
Deselect,(deselect)
None,(none)
Send Report,"{0}
<size=14>Click to send a report (value: {1})</size>"
Send Report NoValue,"{0}
<size=14>Click to send a report</size>"
Send Report Totals,"Queued messages: {0}
<size=14>Click to send a report (value: {1})</size>"
Send Report NoValue Totals,"Queued messages: {0}
<size=14>Click to send a report</size>"
New Intelligence,New intelligence!
Accept Reward,"Mission completed!
<size=14>Click to review summary.</size>"
Complete Mission,"Mission completed!
<size=14>Click to return back to port.</size>"
Complete Mission (Not Enough Fuel),"Mission completed!
<size=14>Not enough fuel to return back to port.</size>"
Complete Mission (Leaks On Board),"Mission completed!
<size=12>There are leaks on board - repair them or return back to port manually.</size>"
Complete Mission (Enemies Nearby),"Mission completed!
<size=12>Cannot continue when there are enemies nearby.</size>"
Complete Mission (Running Story),"Mission completed!
<size=12>Cannot continue when officers are busy with a special event.</size>"
Complete Mission (Nearby Ports),"Mission completed!
<size=12>Please leave the current port to continue.</size>"
Complete Mission (Too Deep),"Mission completed!
<size=12>Your ship cannot be deeper than the periscope depth before completing the mission.</size>"
Complete Mission (Lost),"Mission completed!
<size=12>We are currently lost and must fix our position to plot a course back to the port.</size>"
Complete Mission (Docked),"Mission completed!
<size=14>Click to report back to the officer.</size>"
Send Report No Radio Operator,"{0}
<size=14><color=#f33>Radio officer missing</color></size>"
Send Report Out of Range,"{0}
<size=14><color=#f33>Out of range</color></size>"
Send Report Underwater,"{0}
<size=14><color=#f33>Can't transmit under water</color></size>"
Send Report No Radio Operator Totals,"Queued messages: {0}
<size=14><color=#f33>Radio officer missing</color></size>"
Send Report Out of Range Totals,"Queued messages: {0}
<size=14><color=#f33>Out of range</color></size>"
Send Report Underwater Totals,"Queued messages: {0}
<size=14><color=#f33>Can't transmit under water</color></size>"
Skip Off Duty Time,"U-boat is off duty ({0})
<size=14>Click here to skip the wait time.</size>"
Skip Off Duty Time Stop,"U-boat is off duty ({0})
<size=14>Click here to stop the wait.</size>"
Wait for Convoy,"Convoy is on it's way ({0})
<size=14>Click here to skip the wait time.</size>"
Meet Ally,<size=14>Click to meet ally</size>
Main Mission,Main Mission
Side Mission,Side Mission
Tutorial,Tutorial
New Mission,New Mission
Mission Completed,Mission Completed
New Objective,New Objective
Objective Completed,Objective Completed
Mission Failed,Mission Failed
Nearby Interaction Button,"{0}
<size=14>Click to interact.</size>"
Nearby Interaction Button X,"There are {0} interactions nearby.
<size=14>Click to select.</size>"
Nearby Interaction Button Warning,"{0}
<size=14><color=#f33>{1}</color></size>"
Campaign,Campaign
New Offensive,New Offensive
Offensive Completed,Offensive Completed
Campaign Mission Completed,Campaign Mission Completed!
,
/InteractionWheelUI,English
Description,"<size=24>{0}</size>
{1}"
,
,
/TutorialUI,English
Close Legend,Click anywhere to close…
Close Legend Controller,"Press <sprite name=""JoystickButton0""> to close…"
,
,
/StageViewUI,English
Leave Position,Leave position
,
,
/StorageUI,English
Description,"<line-height=120%><size=24>{0}</size>
<line-height=100%>{1}"
Item Parameters,"<color=#A4A389>Mass:</color><pos=130>{0} kg
<color=#A4A389>Stack limit:</color><pos=130>{1}"
Header,Inventory
Place on Deck,Place on the deck
Yes,Yes
No,No
Throw Out,Throw out
Count Cancel,Cancel
Count Transfer,Transfer
Count Buy,Buy
Count Sell,Sell
Transfer Hint,Hold down the Ctrl key to move items one at a time.
Pre-heating Tip,Maintenance removes the chance for a dud torpedo.
Fuel Header,Amount to buy
Refuel,Refuel
Fuel Price,{0} / ton
Off Duty Duration,It will take {0} to load these goods.
Off Duty Duration Total,{0} will be needed to load all queued goods.
Moving X,Moving...{0} / {1}
Moving,Moving...
Total Transport Time Long,"Total time to transport all goods: {0:%d} days, {0:hh} h : {0:mm} min"
Total Transport Time,Total time to transport all goods: {0:hh} h : {0:mm} min
,
/MainMenuUI,English
Continue,Continue
New Game,New game
Sandbox Test,Sandbox mode
Load,Load
Settings,Settings
Quit,Quit
Gameplay,Gameplay
Video,Video
Graphics,Graphics
Audio,Audio
Controls,Controls
Keyboard,Keyboard
Keyboard Settings,Keyboard Settings
Gameplay Settings,Gameplay settings
Difficulty,Difficulty level
Video Settings,Video settings
Resolution,Resolution
Display Mode,Display mode
Gamma,Gamma
Reset,Reset
Vertical Sync,Vertical sync
Graphics Settings,Graphics settings
Quality Preset,Quality preset
Water,Water
Shadows,Shadows
Contact Shadows,Contact Shadows
Disabled,Disabled
Enabled (Sunlight),Enabled (Sunlight)
Enabled (All),Enabled (All)
Textures Resolution,Textures resolution
Textures Resolution Warning,"This setting may be set too high for the currently installed graphics card as it's optimized for at least {0} GB of video memory, while we detect {1} GB in the system."
Reflections,Reflections
Effects,Effects
Ambient Occlusion,Ambient occlusion
Bloom,Bloom
Vignette,Vignette
Depth of Field,Depth of field
Motion Blur,Motion blur
Chromatic Aberration,Chromatic aberration
Antialiasing,Antialiasing
Filtering Mode,Filtering mode
Audio Settings,Audio settings
Speaker Configuration,Speaker configuration
Master,Master
Music,Music
Effects,Effects
Speech,Speech
Subtitles,Subtitles
Play music in FPP,Play music in FPP
Control Settings,Control settings
Difficulty Normal,Normal
Difficulty Hard,Hard
Difficulty Impossible,Impossible
Display Fullscreen Windowed,Fullscreen (Windowed)
Display Fullscreen,Fullscreen
Display Windowed,Windowed
Preset Custom,Custom
Preset Basic,Medium
Preset Good,Good
Preset High,High
Preset Extreme,Extreme
Water Simple,Simple
Water Good,Good
Water Very Good,Very good
Water Extreme,Extreme
Shadows Simple,Simple
Shadows Good,Good
Shadows Very Good,Very good
Shadows Extreme,Extreme
Textures Simple,Simple
Textures Good,Good
Textures Very Good,Very good
Reflections Basic,Basic
Reflections Screen Space,SSR
PostProcessing Simple,Simple
PostProcessing Good,Good
PostProcessing Very Good,Very good
PostProcessing Full,Full
Antialiasing None,None
Antialiasing FXAA,FXAA
Antialiasing Temporal,Temporal
Temporal Antialiasing Style,Temporal Antialiasing Sharpness
Temporal Antialiasing Subtle,Sharp (Recommended)
